"Pill_id","molecules_contained","Molecule_id","quantity_(in_milligrams)."
"532","","1","2"
"533","","35","151.2"
"534","","35","11.0"
"535","","35","14.5"
"536","","35","18.3"
"537","","1","129.2"
"538","","1","140.8"
"539","","10","55.6"
"540","","10","48.5"
"541","","1","132.2"
"542","","4","30.2"
"542","","1","126.8"
"545","","1","12"
"545","","5","14"
"546","","1","133"
"547","","1","143"
"548","","1","139.7"
"555","","9","27.3"
"559","","1","146.9"
"560","","1","139.7"
"561","","1","156.5"
"562","","1","162.0"
"563","","10","17.8"
"563","","1","53.3"
"564","","10","57.8"
"564","","1","2.0"
"565","","9","35"
"567","","10","82.5"
"567","","1","2.6"
"574","","10","51.4"
"575","","10","55.3"
"576","","10","50"
"578","","10","22.0"
"578","","1","24.0"
"579","","1","1.3"
"579","","5","26.5"
"580","","10","46.7"
"581","","10","27.3"
"582","","1","4"
"582","","36","10"
"583","","6","18.7"
"583","","12","57.0"
"584","","1","170"
"585","","1","20"
"585","","9","13"
