"Pill_id","name","logo","image","image_back","break_notch","color","weight","diameter","thickness","place","date","more_infos"
"341","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-pbguGq.jpg","","False","#67420d","unbekannt","8 mm","3 mm","Wien","2009/07/04",""
"342","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-T56kLC.jpg","","False","#b17a2a","unbekannt","9 mm","3.5 mm","Wien","2009/07/03",""
"343","Mitshubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-rJmJIW.jpg","","False","#b2973f","unbekannt","9 mm","4 mm","Wien","2009/07/03",""
"344","Mitshubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-bEY9gi.jpg","","False","#cbae56","","9 mm","4 mm","Wien","2009/07/03",""
"345","Noname","Noname","http://vied12.github.io/pillen/static/pillen/bild1-lF9Wz8.jpg","","True","#b4bfc2","301.0 mg","7.0 mm","6.4 mm","Zürich","2009/06/04",""
"346","Mitsubishi aufgetaucht Mai und Juni","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-hM2ZOs.jpg","","True","#b2c7b8","294.7 mg","9.2 mm","3.6 mm","Zürich","2009/06/03",""
"347","Atömli (Radioaktiv) aufgetaucht April/Mai/Juni","Atömli (sehr häufig, wurde 10 Mal getestet!)","http://vied12.github.io/pillen/static/pillen/bild1-IYHvdR.jpg","","False","#bab0aa","263.3 mg","8.1 mm","5.3 mm","Zürich","2009/06/02",""
"348","Jungfrau (Kappa) aufgetaucht März/Mai/Juni","Jungfrau (Kappa)","http://vied12.github.io/pillen/static/pillen/bild1-Z27dK4.jpg","","False","#cfc4bd","323.8 mg","9.1 mm","3.9 mm","Zürich","2009/06/01",""
"349","Ying&Yang","Ying&Yang","http://vied12.github.io/pillen/static/pillen/bild1-O5u3hB.jpg","","False","#a0742a","unbekannt","9 mm","4 mm","Wien","2009/05/30",""
"350","Stern","Stern","http://vied12.github.io/pillen/static/pillen/bild1-rufHbI.jpg","","False","#b27e3a","unbekannt","8 mm","4,5 mm","Wien","2009/05/30",""
"351","Mitshubishi","Mitsubishi","http://vied12.github.io/pillen/static/pillen/bild1-Z8B2m7.jpg","","False","#762a17","unbekannt","8 mm","4 mm","Wien","2009/05/30",""
"352","Stern","Stern","http://vied12.github.io/pillen/static/pillen/bild1-oAykm6.jpg","","False","#a8722f","unbekannt","ca. 8 mm","ca. 5 mm","Wien","2009/05/30",""
"353","Ying&Yang","Ying&Yang","http://vied12.github.io/pillen/static/pillen/bild1-HKeiW4.jpg","","False","#a37b30","","","","Wien","2009/05/30",""
"354","Musiknote","Musiknote","http://vied12.github.io/pillen/static/pillen/bild1-nUHSfC.jpg","","False","#9e761f","unbekannt","8 mm","4 mm","Wien","2009/05/30",""
"355","Rolex","Rolex","http://vied12.github.io/pillen/static/pillen/bild1-fe1Xn9.jpg","","False","#a48860","","8 mm","5 mm","Wien","2009/05/30",""
